name,number played,best placement,avg placement,date
"Blackcleave Cliffs",15,1,4.733333333333333,2023-04-08
"Sundown Pass",6,1,5.333333333333333,2023-04-08
"Darkslick Shores",10,1,5.5,2023-04-08
"Shivan Reef",1,1,1.0,2023-04-08
"Battlefield Forge",3,1,1.0,2023-04-08
"Xander's Lounge",8,1,4.25,2023-04-08
"Deserted Beach",3,1,1.0,2023-04-08
"Secluded Courtyard",1,1,1.0,2023-04-08
"Swamp",13,1,2.769230769230769,2023-04-08
"Raffine's Tower",4,1,1.0,2023-04-08
"Caves of Koilos",11,1,4.818181818181818,2023-04-08
"Destroy Evil",4,1,2.0,2023-04-08
"Cut Down",13,1,5.3076923076923075,2023-04-08
"Go for the Throat",18,1,4.555555555555555,2023-04-08
"Make Disappear",2,1,1.0,2023-04-08
"Bloodtithe Harvester",15,1,4.733333333333333,2023-04-08
"Loran of the Third Path",6,1,3.5,2023-04-08
"Blade of Shared Souls",3,1,1.0,2023-04-08
"Fable of the Mirror-Breaker",16,1,4.5,2023-04-08
"Corpse Appraiser",4,1,1.0,2023-04-08
"Atsushi, the Blazing Sky",7,1,5.714285714285714,2023-04-08
"Ratadrabik of Urborg",2,1,1.0,2023-04-08
"Ao, the Dawn Sky",6,1,2.5,2023-04-08
"Mountain",5,1,5.0,2023-04-08
"Concealing Curtains",1,1,1.0,2023-04-08
"Reckoner Bankbuster",13,1,4.6923076923076925,2023-04-08
"Sheoldred, the Apocalypse",15,2,4.933333333333334,2023-04-08
"Haunted Ridge",12,2,5.666666666666667,2023-04-08
"Graveyard Trespasser",4,2,2.0,2023-04-08
"Invoke Despair",4,2,2.0,2023-04-08
"Gix's Command",1,2,2.0,2023-04-08
"Sulfurous Springs",11,2,5.545454545454546,2023-04-08
"Takenuma, Abandoned Mire",7,2,5.571428571428571,2023-04-08
"Sokenzan, Crucible of Defiance",1,2,2.0,2023-04-08
"Mirrex",5,2,3.0,2023-04-08
"Archfiend of the Dross",1,2,2.0,2023-04-08
"Infernal Grasp",1,2,2.0,2023-04-08
"Crawling Chorus",4,3,3.0,2023-04-08
"Skrelv, Defector Mite",12,3,4.666666666666667,2023-04-08
"Venerated Rotpriest",4,3,3.0,2023-04-08
"Jawbone Duelist",3,3,3.0,2023-04-08
"Slaughter Singer",4,3,3.0,2023-04-08
"Bloated Contaminator",4,3,3.0,2023-04-08
"Audacity",4,3,3.0,2023-04-08
"Tyvar's Stand",4,3,3.0,2023-04-08
"Skrelv's Hive",4,3,3.0,2023-04-08
"Boseiju, Who Endures",2,3,3.0,2023-04-08
"Brushland",4,3,3.0,2023-04-08
"Eiganjo, Seat of the Empire",9,3,4.777777777777778,2023-04-08
"Forest",1,3,3.0,2023-04-08
"Overgrown Farmland",2,3,3.0,2023-04-08
"Plains",18,3,4.111111111111111,2023-04-08
"Razorverge Thicket",4,3,3.0,2023-04-08
"The Seedcore",4,3,3.0,2023-04-08
"Field of Ruin",3,4,4.0,2023-04-08
"Ambitious Farmhand",1,4,4.0,2023-04-08
"Spirited Companion",2,4,4.0,2023-04-08
"Steel Seraph",1,4,4.0,2023-04-08
"Wedding Announcement",4,4,4.0,2023-04-08
"Farewell",2,4,4.0,2023-04-08
"The Restoration of Eiganjo",3,4,4.0,2023-04-08
"The Wandering Emperor",4,4,4.0,2023-04-08
"Elspeth Resplendent",1,4,4.0,2023-04-08
"Roadside Reliquary",4,4,4.0,2023-04-08
"Serra Paragon",2,4,4.0,2023-04-08
"Lay Down Arms",4,4,4.0,2023-04-08
"The Eternal Wanderer",2,4,4.0,2023-04-08
"Ossification",4,4,4.0,2023-04-08
"Thalia, Guardian of Thraben",8,5,5.5,2023-04-08
"Dennick, Pious Apprentice",8,5,5.5,2023-04-08
"Ludevic, Necrogenius",1,5,5.0,2023-04-08
"Raffine, Scheming Seer",8,5,5.5,2023-04-08
"Adeline, Resplendent Cathar",4,5,5.25,2023-04-08
"Ertai Resurrected",4,5,5.5,2023-04-08
"Island",1,5,5.0,2023-04-08
"Plaza of Heroes",14,5,6.357142857142857,2023-04-08
"Seachrome Coast",5,5,5.4,2023-04-08
"Underground River",2,5,5.5,2023-04-08
"Shattered Sanctum",6,5,5.5,2023-04-08
"Otawara, Soaring City",6,5,5.5,2023-04-08
"Harbin, Vanguard Aviator",3,5,5.666666666666667,2023-04-08
"Razorlash Transmogrant",1,6,6.0,2023-04-08
"Gix, Yawgmoth Praetor",2,6,6.0,2023-04-08
"Abrade",1,7,7.0,2023-04-08
"Brotherhood's End",5,7,7.6,2023-04-08
"Liliana of the Veil",2,7,7.0,2023-04-08
"The Cruelty of Gix",8,7,7.5,2023-04-08
"Atraxa, Grand Unifier",8,7,7.5,2023-04-08
"Ziatora's Proving Ground",4,7,7.5,2023-04-08
"Duress",2,7,7.5,2023-04-08
"Llanowar Wastes",1,8,8.0,2023-04-08
